t,o,h,l,c,v,datetime_utc
1788358260,4393.65,4395.8,4389.76,4395.8,975.0,2026-09-02 14:11:00
1788358320,4395.85,4397.69,4392.79,4393.31,1118.0,2026-09-02 14:12:00
1788358380,4393.25,4395.92,4392.32,4395.6,969.0,2026-09-02 14:13:00
1788358440,4395.59,4395.61,4393.09,4393.62,98.0,2026-09-02 14:14:00
1788358500,4388.51,4388.51,4386.08,4387.23,960.0,2026-09-02 14:15:00
1788358560,4387.24,4389.25,4386.81,4387.32,966.0,2026-09-02 14:16:00
1788358620,4387.33,4389.18,4386.68,4387.91,1240.0,2026-09-02 14:17:00
1788358680,4387.9,4388.11,4384.98,4386.32,992.0,2026-09-02 14:18:00
1788358740,4386.33,4392.7,4385.99,4392.23,1496.0,2026-09-02 14:19:00
1788358800,4392.2,4395.2,4392.1,4395.08,1353.0,2026-09-02 14:20:00
1788358860,4395.09,4397.32,4393.58,4393.77,1183.0,2026-09-02 14:21:00
1788358920,4393.78,4394.57,4390.03,4390.36,1083.0,2026-09-02 14:22:00
1788358980,4390.33,4391.08,4387.64,4388.41,948.0,2026-09-02 14:23:00
1788359040,4388.41,4388.41,4386.84,4387.24,988.0,2026-09-02 14:24:00
1788359100,4387.26,4388.95,4385.43,4385.62,1042.0,2026-09-02 14:25:00
1788359160,4385.61,4387.66,4385.49,4386.94,1016.0,2026-09-02 14:26:00
1788359220,4386.96,4389.52,4386.57,4388.54,1073.0,2026-09-02 14:27:00
1788359280,4388.53,4390.27,4387.73,4389.63,888.0,2026-09-02 14:28:00
1788359340,4389.63,4390.39,4387.36,4387.62,894.0,2026-09-02 14:29:00
1788359400,4387.63,4387.63,4382.92,4383.88,1216.0,2026-09-02 14:30:00
1788359460,4383.88,4386.38,4383.61,4386.23,985.0,2026-09-02 14:31:00
1788359520,4386.21,4388.22,4384.61,4386.67,970.0,2026-09-02 14:32:00
1788359580,4386.7,4387.02,4384.15,4386.57,952.0,2026-09-02 14:33:00
1788359640,4386.56,4387.69,4385.66,4386.52,1114.0,2026-09-02 14:34:00
1788359700,4386.51,4387.71,4384.21,4385.02,981.0,2026-09-02 14:35:00
1788359760,4384.98,4384.98,4383.21,4383.35,953.0,2026-09-02 14:36:00
1788359820,4383.35,4384.58,4383.12,4384.38,821.0,2026-09-02 14:37:00
1788359880,4384.41,4384.87,4382.66,4383.97,987.0,2026-09-02 14:38:00
1788359940,4383.98,4385.21,4382.31,4382.77,941.0,2026-09-02 14:39:00
1788360000,4382.78,4383.51,4381.37,4383.41,826.0,2026-09-02 14:40:00
1788360060,4383.4,4384.2,4382.07,4383.59,834.0,2026-09-02 14:41:00
1788360120,4383.61,4386.08,4383.34,4384.22,1113.0,2026-09-02 14:42:00
1788360180,4384.23,4385.78,4382.56,4383.6,906.0,2026-09-02 14:43:00
1788360240,4383.63,4385.79,4383.63,4385.54,885.0,2026-09-02 14:44:00
1788360300,4385.53,4386.91,4381.32,4381.6,965.0,2026-09-02 14:45:00
1788360360,4381.61,4382.42,4380.81,4380.87,862.0,2026-09-02 14:46:00
1788360420,4380.88,4381.23,4380.08,4380.4,754.0,2026-09-02 14:47:00
1788360480,4380.34,4380.97,4379.06,4379.55,883.0,2026-09-02 14:48:00
1788360540,4379.54,4381.13,4378.89,4381.0,827.0,2026-09-02 14:49:00
1788360600,4381.01,4382.44,4379.28,4379.9,1044.0,2026-09-02 14:50:00
1788360660,4379.91,4380.22,4377.42,4378.23,914.0,2026-09-02 14:51:00
1788360720,4378.24,4378.95,4377.19,4378.41,798.0,2026-09-02 14:52:00
1788360780,4378.41,4378.66,4376.08,4377.26,772.0,2026-09-02 14:53:00
1788360840,4377.25,4378.01,4376.03,4376.95,756.0,2026-09-02 14:54:00
1788360900,4376.93,4378.53,4376.16,4376.28,752.0,2026-09-02 14:55:00
1788360960,4376.28,4377.18,4375.67,4376.72,759.0,2026-09-02 14:56:00
1788361020,4376.71,4377.19,4375.41,4376.81,782.0,2026-09-02 14:57:00
1788361080,4376.8,4376.8,4375.11,4375.42,605.0,2026-09-02 14:58:00
1788361140,4375.42,4377.05,4374.34,4376.97,692.0,2026-09-02 14:59:00
1788361200,4376.96,4377.15,4374.23,4374.44,847.0,2026-09-02 15:00:00
1788361260,4374.47,4375.67,4374.14,4374.75,799.0,2026-09-02 15:01:00
1788361320,4374.74,4376.98,4374.27,4376.93,948.0,2026-09-02 15:02:00
1788361380,4376.92,4380.84,4376.44,4380.58,1050.0,2026-09-02 15:03:00
1788361440,4380.59,4380.83,4376.73,4377.68,951.0,2026-09-02 15:04:00
1788361500,4377.73,4379.22,4375.87,4378.86,873.0,2026-09-02 15:05:00
1788361560,4378.86,4380.64,4378.22,4378.43,977.0,2026-09-02 15:06:00
1788361620,4378.41,4378.79,4375.27,4375.3,824.0,2026-09-02 15:07:00
1788361680,4375.28,4375.73,4373.93,4374.65,823.0,2026-09-02 15:08:00
1788361740,4374.64,4376.93,4373.76,4376.49,804.0,2026-09-02 15:09:00
1788361800,4376.52,4376.65,4373.74,4374.91,935.0,2026-09-02 15:10:00
1788361860,4374.9,4378.18,4373.8,4378.08,933.0,2026-09-02 15:11:00
1788361920,4378.09,4378.11,4375.45,4375.49,853.0,2026-09-02 15:12:00
1788361980,4375.48,4375.48,4373.01,4373.45,898.0,2026-09-02 15:13:00
1788362040,4373.42,4374.27,4372.62,4372.84,816.0,2026-09-02 15:14:00
1788362100,4372.83,4372.83,4370.06,4370.71,804.0,2026-09-02 15:15:00
1788362160,4370.7,4371.98,4370.53,4370.85,726.0,2026-09-02 15:16:00
1788362220,4370.84,4372.15,4370.03,4370.07,814.0,2026-09-02 15:17:00
1788362280,4370.06,4370.08,4368.9,4369.54,725.0,2026-09-02 15:18:00
1788362340,4369.55,4370.53,4369.39,4369.9,686.0,2026-09-02 15:19:00
1788362400,4369.94,4370.23,4367.11,4367.11,753.0,2026-09-02 15:20:00
1788362460,4367.1,4367.46,4365.96,4366.52,665.0,2026-09-02 15:21:00
1788362520,4366.51,4369.28,4365.61,4369.21,637.0,2026-09-02 15:22:00
1788362580,4369.17,4371.59,4367.15,4369.67,1019.0,2026-09-02 15:23:00
1788362640,4369.68,4371.39,4369.62,4370.11,804.0,2026-09-02 15:24:00
1788362700,4370.1,4371.31,4368.9,4369.7,795.0,2026-09-02 15:25:00
1788362760,4369.7,4370.66,4368.87,4369.56,679.0,2026-09-02 15:26:00
1788362820,4369.58,4369.95,4367.37,4369.28,665.0,2026-09-02 15:27:00
1788362880,4369.34,4371.24,4369.34,4370.36,778.0,2026-09-02 15:28:00
1788362940,4370.33,4373.04,4370.31,4372.68,976.0,2026-09-02 15:29:00
1788363000,4372.67,4374.04,4371.45,4371.79,896.0,2026-09-02 15:30:00
1788363060,4371.76,4374.48,4371.08,4372.83,789.0,2026-09-02 15:31:00
1788363120,4372.81,4373.7,4372.05,4373.45,688.0,2026-09-02 15:32:00
1788363180,4373.39,4375.22,4372.19,4373.19,780.0,2026-09-02 15:33:00
1788363240,4373.18,4373.64,4371.29,4371.33,660.0,2026-09-02 15:34:00
1788363300,4371.32,4372.61,4370.56,4371.21,806.0,2026-09-02 15:35:00
1788363360,4371.22,4371.69,4369.22,4369.32,815.0,2026-09-02 15:36:00
1788363420,4369.31,4369.71,4368.61,4368.88,596.0,2026-09-02 15:37:00
1788363480,4368.87,4369.39,4367.48,4369.29,652.0,2026-09-02 15:38:00
1788363540,4369.3,4370.45,4369.11,4370.44,637.0,2026-09-02 15:39:00
1788363600,4370.42,4372.21,4370.2,4370.6,673.0,2026-09-02 15:40:00
1788363660,4370.57,4371.14,4368.29,4368.52,621.0,2026-09-02 15:41:00
1788363720,4368.51,4368.57,4367.05,4367.53,613.0,2026-09-02 15:42:00
1788363780,4367.51,4367.78,4366.25,4367.2,667.0,2026-09-02 15:43:00
1788363840,4367.21,4368.12,4366.05,4366.27,622.0,2026-09-02 15:44:00
1788363900,4366.26,4366.26,4364.61,4365.71,726.0,2026-09-02 15:45:00
1788363960,4365.69,4369.13,4365.45,4368.95,690.0,2026-09-02 15:46:00
1788364020,4368.93,4369.63,4368.28,4369.51,572.0,2026-09-02 15:47:00
1788364080,4369.5,4369.65,4368.11,4368.39,607.0,2026-09-02 15:48:00
1788364140,4368.35,4368.93,4367.38,4367.87,534.0,2026-09-02 15:49:00
1788364200,4367.84,4368.86,4367.6,4368.67,554.0,2026-09-02 15:50:00
1788364260,4368.68,4369.24,4367.28,4368.98,678.0,2026-09-02 15:51:00
1788364320,4368.98,4369.41,4368.14,4369.4,525.0,2026-09-02 15:52:00
1788364380,4369.4,4369.74,4368.25,4368.25,657.0,2026-09-02 15:53:00
1788364440,4368.26,4369.09,4368.11,4368.65,522.0,2026-09-02 15:54:00
1788364500,4368.66,4370.69,4367.99,4370.66,570.0,2026-09-02 15:55:00
1788364560,4370.67,4371.73,4370.33,4371.06,599.0,2026-09-02 15:56:00
1788364620,4371.07,4372.4,4370.45,4372.2,552.0,2026-09-02 15:57:00
1788364680,4372.19,4373.51,4371.74,4373.24,650.0,2026-09-02 15:58:00
1788364740,4373.18,4373.94,4372.57,4373.11,534.0,2026-09-02 15:59:00
1788364800,4373.01,4374.82,4371.36,4373.94,734.0,2026-09-02 16:00:00
1788364860,4373.93,4374.77,4373.27,4374.47,583.0,2026-09-02 16:01:00
1788364920,4374.47,4374.76,4372.91,4373.66,637.0,2026-09-02 16:02:00
1788364980,4373.65,4374.82,4372.48,4374.15,562.0,2026-09-02 16:03:00
1788365040,4374.15,4374.25,4372.78,4373.03,566.0,2026-09-02 16:04:00
1788365100,4373.0,4373.29,4369.08,4369.1,686.0,2026-09-02 16:05:00
1788365160,4369.07,4370.39,4368.87,4370.04,624.0,2026-09-02 16:06:00
1788365220,4370.03,4371.35,4369.61,4369.63,563.0,2026-09-02 16:07:00
1788365280,4369.64,4371.67,4369.53,4371.26,515.0,2026-09-02 16:08:00
1788365340,4371.27,4371.28,4369.98,4370.49,560.0,2026-09-02 16:09:00
1788365400,4370.5,4371.61,4370.46,4371.43,554.0,2026-09-02 16:10:00
1788365460,4371.43,4371.87,4370.4,4370.65,427.0,2026-09-02 16:11:00
1788365520,4370.65,4371.87,4370.39,4371.65,405.0,2026-09-02 16:12:00
1788365580,4371.66,4372.4,4370.28,4371.84,576.0,2026-09-02 16:13:00
1788365640,4371.83,4373.22,4371.75,4372.42,498.0,2026-09-02 16:14:00
1788365700,4372.41,4372.45,4370.42,4370.45,559.0,2026-09-02 16:15:00
1788365760,4370.42,4370.53,4367.91,4368.89,667.0,2026-09-02 16:16:00
1788365820,4368.92,4371.35,4368.72,4369.69,636.0,2026-09-02 16:17:00
1788365880,4369.68,4370.81,4369.51,4370.33,392.0,2026-09-02 16:18:00
1788365940,4370.3,4371.08,4369.83,4369.94,412.0,2026-09-02 16:19:00
1788366000,4369.95,4370.89,4369.6,4370.02,488.0,2026-09-02 16:20:00
1788366060,4370.02,4370.53,4369.64,4369.99,473.0,2026-09-02 16:21:00
1788366120,4370.03,4370.95,4369.64,4370.73,469.0,2026-09-02 16:22:00
1788366180,4370.74,4370.75,4368.69,4368.98,499.0,2026-09-02 16:23:00
1788366240,4368.99,4369.81,4368.86,4369.55,427.0,2026-09-02 16:24:00
1788366300,4369.48,4369.94,4369.02,4369.52,499.0,2026-09-02 16:25:00
1788366360,4369.51,4370.11,4368.84,4369.56,466.0,2026-09-02 16:26:00
1788366420,4369.55,4370.18,4368.68,4368.74,461.0,2026-09-02 16:27:00
1788366480,4368.73,4370.23,4368.73,4369.18,438.0,2026-09-02 16:28:00
1788366540,4369.18,4369.5,4367.68,4368.69,534.0,2026-09-02 16:29:00
1788366600,4368.67,4369.49,4367.66,4369.26,586.0,2026-09-02 16:30:00
1788366660,4369.26,4370.53,4369.0,4370.41,591.0,2026-09-02 16:31:00
1788366720,4370.43,4370.45,4368.79,4368.91,623.0,2026-09-02 16:32:00
1788366780,4368.95,4369.6,4367.31,4367.31,527.0,2026-09-02 16:33:00
1788366840,4367.34,4368.4,4367.26,4367.28,518.0,2026-09-02 16:34:00
1788366900,4367.31,4368.35,4367.21,4368.2,470.0,2026-09-02 16:35:00
1788366960,4368.19,4368.36,4367.19,4368.11,501.0,2026-09-02 16:36:00
1788367020,4368.13,4368.73,4366.98,4368.07,584.0,2026-09-02 16:37:00
1788367080,4368.06,4368.35,4366.2,4367.42,503.0,2026-09-02 16:38:00
1788367140,4367.43,4368.98,4367.08,4368.59,493.0,2026-09-02 16:39:00
1788367200,4368.56,4368.59,4366.18,4366.44,498.0,2026-09-02 16:40:00
1788367260,4366.42,4366.43,4365.43,4366.2,515.0,2026-09-02 16:41:00
1788367320,4366.22,4367.1,4365.49,4365.65,366.0,2026-09-02 16:42:00
1788367380,4365.69,4365.99,4364.49,4364.89,456.0,2026-09-02 16:43:00
1788367440,4364.9,4365.46,4364.62,4364.92,355.0,2026-09-02 16:44:00
1788367500,4364.92,4365.11,4364.6,4364.89,415.0,2026-09-02 16:45:00
1788367560,4364.9,4365.74,4364.67,4365.13,402.0,2026-09-02 16:46:00
1788367620,4365.14,4365.75,4364.85,4365.45,369.0,2026-09-02 16:47:00
1788367680,4365.45,4365.57,4364.97,4365.47,363.0,2026-09-02 16:48:00
1788367740,4365.49,4366.68,4365.07,4365.99,513.0,2026-09-02 16:49:00
1788367800,4366.01,4366.93,4364.74,4366.92,606.0,2026-09-02 16:50:00
1788367860,4366.91,4367.64,4366.29,4366.82,488.0,2026-09-02 16:51:00
1788367920,4366.83,4368.63,4366.21,4367.93,392.0,2026-09-02 16:52:00
1788367980,4367.92,4370.57,4367.65,4370.48,537.0,2026-09-02 16:53:00
1788368040,4370.5,4370.72,4369.67,4369.96,424.0,2026-09-02 16:54:00
1788368100,4369.95,4370.23,4369.2,4369.45,492.0,2026-09-02 16:55:00
1788368160,4369.44,4370.3,4368.31,4369.96,446.0,2026-09-02 16:56:00
1788368220,4369.96,4370.36,4369.5,4369.72,381.0,2026-09-02 16:57:00
1788368280,4369.71,4370.11,4369.33,4369.48,284.0,2026-09-02 16:58:00
1788368340,4369.48,4369.48,4367.91,4368.29,388.0,2026-09-02 16:59:00
1788368400,4368.28,4369.82,4368.04,4368.89,505.0,2026-09-02 17:00:00
1788368460,4368.85,4369.77,4368.47,4369.56,403.0,2026-09-02 17:01:00
1788368520,4369.53,4369.8,4368.6,4368.83,335.0,2026-09-02 17:02:00
1788368580,4368.86,4368.86,4367.85,4368.19,429.0,2026-09-02 17:03:00
1788368640,4368.18,4370.74,4368.07,4370.74,438.0,2026-09-02 17:04:00
1788368700,4370.73,4370.73,4369.04,4369.31,457.0,2026-09-02 17:05:00
1788368760,4369.36,4370.97,4369.36,4370.06,424.0,2026-09-02 17:06:00
1788368820,4370.06,4370.37,4368.92,4369.67,455.0,2026-09-02 17:07:00
1788368880,4369.71,4371.11,4369.7,4370.73,445.0,2026-09-02 17:08:00
1788368940,4370.7,4370.8,4369.63,4370.03,336.0,2026-09-02 17:09:00
1788369000,4370.01,4370.19,4369.32,4369.41,350.0,2026-09-02 17:10:00
1788369060,4369.42,4369.54,4368.09,4368.2,425.0,2026-09-02 17:11:00
1788369120,4368.21,4369.1,4367.59,4369.05,362.0,2026-09-02 17:12:00
1788369180,4369.07,4370.55,4368.76,4368.76,497.0,2026-09-02 17:13:00
1788369240,4368.77,4369.03,4368.37,4368.87,364.0,2026-09-02 17:14:00
1788369300,4368.89,4369.06,4367.45,4368.38,422.0,2026-09-02 17:15:00
1788369360,4368.4,4368.75,4366.1,4366.43,387.0,2026-09-02 17:16:00
1788369420,4366.43,4366.9,4364.97,4365.32,456.0,2026-09-02 17:17:00
1788369480,4365.32,4365.66,4364.78,4364.79,382.0,2026-09-02 17:18:00
1788369540,4364.89,4365.56,4364.59,4365.37,393.0,2026-09-02 17:19:00
1788369600,4365.35,4365.37,4364.65,4365.08,410.0,2026-09-02 17:20:00
1788369660,4365.08,4365.98,4364.92,4365.95,280.0,2026-09-02 17:21:00
1788369720,4365.95,4366.62,4365.62,4365.72,388.0,2026-09-02 17:22:00
1788369780,4365.73,4367.07,4365.69,4366.84,383.0,2026-09-02 17:23:00
1788369840,4366.79,4367.42,4366.1,4367.13,541.0,2026-09-02 17:24:00
1788369900,4367.08,4368.27,4367.03,4368.27,335.0,2026-09-02 17:25:00
1788369960,4368.27,4369.31,4367.64,4367.98,596.0,2026-09-02 17:26:00
1788370020,4367.98,4369.1,4367.98,4368.75,387.0,2026-09-02 17:27:00
1788370080,4368.74,4369.12,4367.64,4367.78,387.0,2026-09-02 17:28:00
1788370140,4367.77,4369.92,4366.94,4369.89,676.0,2026-09-02 17:29:00
1788370200,4369.91,4371.43,4369.61,4371.21,554.0,2026-09-02 17:30:00
1788370260,4371.2,4371.58,4370.22,4370.57,448.0,2026-09-02 17:31:00
1788370320,4370.59,4370.69,4368.13,4368.44,457.0,2026-09-02 17:32:00
1788370380,4368.45,4368.99,4368.43,4368.88,344.0,2026-09-02 17:33:00
1788370440,4368.87,4368.98,4368.08,4368.08,289.0,2026-09-02 17:34:00
1788370500,4368.08,4368.71,4367.58,4368.44,332.0,2026-09-02 17:35:00
1788370560,4368.43,4368.6,4367.89,4367.91,318.0,2026-09-02 17:36:00
1788370620,4367.91,4369.52,4367.91,4368.46,323.0,2026-09-02 17:37:00
1788370680,4368.4,4368.5,4366.7,4367.02,364.0,2026-09-02 17:38:00
1788370740,4367.05,4367.5,4366.56,4366.61,353.0,2026-09-02 17:39:00
1788370800,4366.6,4367.75,4366.56,4367.27,336.0,2026-09-02 17:40:00
1788370860,4367.28,4370.05,4366.88,4369.45,507.0,2026-09-02 17:41:00
1788370920,4369.44,4373.14,4368.74,4371.89,685.0,2026-09-02 17:42:00
1788370980,4371.87,4374.69,4371.68,4373.67,683.0,2026-09-02 17:43:00
1788371040,4373.69,4377.72,4373.58,4376.54,856.0,2026-09-02 17:44:00
1788371100,4376.52,4380.73,4376.0,4379.73,1070.0,2026-09-02 17:45:00
1788371160,4379.72,4380.23,4378.43,4379.54,723.0,2026-09-02 17:46:00
1788371220,4379.56,4379.56,4375.94,4377.45,762.0,2026-09-02 17:47:00
1788371280,4377.45,4378.1,4375.78,4375.79,564.0,2026-09-02 17:48:00
1788371340,4375.78,4377.14,4375.46,4376.0,536.0,2026-09-02 17:49:00
1788371400,4376.03,4376.4,4375.49,4376.0,476.0,2026-09-02 17:50:00
1788371460,4376.03,4376.83,4375.5,4376.78,410.0,2026-09-02 17:51:00
1788371520,4376.79,4377.53,4376.49,4376.53,385.0,2026-09-02 17:52:00
1788371580,4376.52,4376.96,4375.85,4375.95,374.0,2026-09-02 17:53:00
1788371640,4375.96,4376.67,4375.39,4376.21,329.0,2026-09-02 17:54:00
1788371700,4376.14,4376.58,4375.77,4376.58,340.0,2026-09-02 17:55:00
1788371760,4376.64,4377.11,4375.94,4376.42,295.0,2026-09-02 17:56:00
1788371820,4376.43,4378.04,4376.42,4377.86,442.0,2026-09-02 17:57:00
1788371880,4378.1,4378.45,4377.12,4377.41,256.0,2026-09-02 17:58:00
1788371940,4377.43,4377.44,4376.79,4376.94,265.0,2026-09-02 17:59:00
1788372000,4376.95,4377.57,4373.01,4373.08,630.0,2026-09-02 18:00:00
1788372060,4373.11,4373.97,4372.31,4372.4,520.0,2026-09-02 18:01:00
1788372120,4372.41,4374.39,4372.16,4373.89,448.0,2026-09-02 18:02:00
1788372180,4373.88,4376.34,4373.87,4375.28,515.0,2026-09-02 18:03:00
1788372240,4375.27,4375.92,4374.43,4375.02,455.0,2026-09-02 18:04:00
1788372300,4375.01,4375.58,4374.11,4375.2,533.0,2026-09-02 18:05:00
1788372360,4375.21,4375.7,4374.37,4374.42,400.0,2026-09-02 18:06:00
1788372420,4374.44,4374.93,4374.19,4374.71,498.0,2026-09-02 18:07:00
1788372480,4374.69,4374.71,4373.3,4373.71,453.0,2026-09-02 18:08:00
1788372540,4373.72,4374.17,4373.44,4373.6,330.0,2026-09-02 18:09:00
1788372600,4373.58,4374.03,4372.9,4373.42,384.0,2026-09-02 18:10:00
1788372660,4373.42,4373.59,4372.55,4373.02,321.0,2026-09-02 18:11:00
1788372720,4372.96,4372.96,4371.21,4371.44,337.0,2026-09-02 18:12:00
1788372780,4371.44,4373.09,4371.44,4371.85,458.0,2026-09-02 18:13:00
1788372840,4371.85,4371.98,4370.19,4370.27,385.0,2026-09-02 18:14:00
1788372900,4370.25,4370.41,4369.37,4369.52,420.0,2026-09-02 18:15:00
1788372960,4369.52,4370.25,4369.31,4370.15,348.0,2026-09-02 18:16:00
1788373020,4370.16,4371.37,4369.88,4371.14,366.0,2026-09-02 18:17:00
1788373080,4371.14,4379.09,4371.04,4378.92,544.0,2026-09-02 18:18:00
1788373140,4378.96,4379.48,4376.0,4376.44,762.0,2026-09-02 18:19:00
1788373200,4376.47,4378.71,4376.06,4378.27,1488.0,2026-09-02 18:20:00
1788373260,4378.28,4379.78,4374.63,4375.32,909.0,2026-09-02 18:21:00
1788373320,4375.31,4375.31,4372.73,4374.12,667.0,2026-09-02 18:22:00
1788373380,4374.12,4374.21,4372.86,4373.04,441.0,2026-09-02 18:23:00
1788373440,4373.03,4373.42,4372.26,4373.22,427.0,2026-09-02 18:24:00
1788373500,4373.23,4373.86,4372.31,4372.85,484.0,2026-09-02 18:25:00
1788373560,4372.82,4373.77,4372.68,4373.42,484.0,2026-09-02 18:26:00
1788373620,4373.4,4373.4,4371.85,4372.18,361.0,2026-09-02 18:27:00
1788373680,4372.2,4372.91,4372.1,4372.65,485.0,2026-09-02 18:28:00
1788373740,4372.65,4373.1,4372.15,4373.1,440.0,2026-09-02 18:29:00
1788373800,4373.07,4374.36,4372.81,4374.26,438.0,2026-09-02 18:30:00
